<anon> events\ACW.txt [province_event\option] (Line 1122, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 668, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 716, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 744, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 772, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 800, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 828, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 859, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 887, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 918, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 955, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 983, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1017, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1045, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1073, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1101, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1128, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1156, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1184, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1212, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1240, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1268, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1305, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1336, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1363, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1390, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1417, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1443, column 2) (Scope Country)
<anon> events\AMP_africa.txt [country_event\option] (Line 1473, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 21, column 2) (Scope Country)
	Outgoing
		100337: events\AMP_CB.txt [country_event\option\any_country\country_event\id] (Line 31, column 5)
100337 (Scope <err>)
	Incoming
		<anon> events\AMP_CB.txt [country_event\option] (Line 21, column 2) (Scope Country): events\AMP_CB.txt [country_event\option\any_country\country_event\id] (Line 31, column 5)
		<anon> common\cb_types.txt [gain_state_crete_all\on_po_accepted] (Line 5570, column 2) (Scope Country): common\cb_types.txt [gain_state_crete_all\on_po_accepted\country_event] (Line 5571, column 3)
<anon> events\AMP_CB.txt [country_event\option] (Line 48, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 70, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 90, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 138, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 204, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 235, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 266, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 297, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 328, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 359, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 390, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 421, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 452, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 483, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 514, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 545, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 576, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 607, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 638, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 669, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 700, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 731, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 762, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 793, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 824, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 855, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 886, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 917, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 948, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 979, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1010, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1041, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1072, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1103, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1134, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1165, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1196, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1227, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1258, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1289, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1320, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1351, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1382, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1413, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1444, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1475, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1507, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1539, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1571, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1603, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1635, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1667, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1699, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1731, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1763, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1795, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1827, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1859, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1891, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1923, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1955, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 1987, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2019, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2051, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2083, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2115, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2147, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2179, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2211, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2243, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2275, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2307, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2339, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2371, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2403, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2435, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2467, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2499, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2531, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2563, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2595, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2627, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2659, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2691, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2723, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2755, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2787, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2819, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2851, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2883, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2915, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2947, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 2979, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3011, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3043, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3075, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3107, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3139, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3171, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3203, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3235, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3267, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3299, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3331, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3363, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3395, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3427, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3459, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3491, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3523, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3555, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3587, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3619, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3651, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3683, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3715, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3747, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3779, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3811, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3843, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3875, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3907, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3939, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 3971, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4003, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4036, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4069, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4101, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4133, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4165, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4183, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4215, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4247, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4279, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4311, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4343, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4375, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4407, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4439, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4471, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4503, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4535, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4567, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4599, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4631, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4663, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4695, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4727, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4759, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4791, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4823, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4855, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4887, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4919, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4951, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 4983, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5015, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5047, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5079, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5111, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5143, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5175, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5207, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5239, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5271, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5303, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5335, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5367, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5399, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5431, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5463, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5495, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5527, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5559, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5591, column 2) (Scope Country)
<anon> events\AMP_CB.txt [country_event\option] (Line 5623, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 15, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 97, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 152, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 173, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 202, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 238, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 268, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 304, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 334, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 370, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 400, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 436, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 466, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 502, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 532, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 568, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 598, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 634, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 664, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 700, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 739, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 769, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 805, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 835, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 871, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 901, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 937, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 967, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1003, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1033, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1069, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1099, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1135, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1165, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1201, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1231, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1267, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1297, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1333, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1363, column 2) (Scope Country)
<anon> events\AMP_ChinaCompanies.txt [country_event\option] (Line 1399, column 2) (Scope Country)
<anon> events\AMP_communism.txt [country_event\option] (Line 23, column 2) (Scope Country)
<anon> events\AMP_communism.txt [country_event\option] (Line 55, column 2) (Scope Country)
<anon> events\AMP_communism.txt [country_event\option] (Line 117, column 2) (Scope Country)
<anon> events\AMP_communism.txt [country_event\option] (Line 153, column 2) (Scope Country)
<anon> events\AMP_communism.txt [country_event\option] (Line 198, column 2) (Scope Country)
<anon> events\AMP_Cores.txt [country_event\option] (Line 18, column 2) (Scope Country)
<anon> events\AMP_Cores.txt [country_event\option] (Line 48, column 2) (Scope Country)
<anon> events\AMP_dynamics.txt [country_event\option] (Line 106, column 2) (Scope Country)
<anon> events\AMP_dynamics.txt [country_event\option] (Line 1275, column 2) (Scope Country)
<anon> events\AMP_dynamics.txt [country_event\option] (Line 1600, column 2) (Scope Country)
<anon> events\AMP_Economy.txt [country_event\option] (Line 30, column 2) (Scope Country)
<anon> events\AMP_Economy.txt [country_event\option] (Line 63, column 2) (Scope Country)
<anon> events\AMP_Economy.txt [country_event\option] (Line 96, column 2) (Scope Country)
<anon> events\AMP_Economy.txt [country_event\option] (Line 112, column 2) (Scope Country)
<anon> events\AMP_Economy.txt [country_event\option] (Line 142, column 2) (Scope Country)
<anon> events\AMP_IndiaCompanies.txt [country_event\option] (Line 51, column 2) (Scope Country)
<anon> events\AMP_IndiaCompanies.txt [country_event\option] (Line 72, column 2) (Scope Country)
<anon> events\AMP_IndiaCompanies.txt [country_event\option] (Line 101, column 2) (Scope Country)
<anon> events\AMP_IndiaCompanies.txt [country_event\option] (Line 137, column 2) (Scope Country)
<anon> events\AMP_IndiaCompanies.txt [country_event\option] (Line 167, column 2) (Scope Country)
<anon> events\AMP_IndiaCompanies.txt [country_event\option] (Line 203, column 2) (Scope Country)
<anon> events\AMP_IndiaCompanies.txt [country_event\option] (Line 233, column 2) (Scope Country)
