EVTNAME91001; We took the naval blockade; X
OPTION3_100000122; Workers; X
OPTION4_100000122; Employees; X
OPTION5_100000122; servicer; X
OPTION6_100000122; Remove modifiers; X
TITLE100000123; Growth Restriction among satellites in Africa; X
DESC100000123; ; X
OPTION1_100000123; teachers; X
OPTION2_100000123; Soldiers; X
OPTION3_100000123; Workers; X
OPTION4_100000123; Employees; X
OPTION5_100000123; servicer; X
OPTION6_100000123; Remove modifiers; X
TITLE100000124; Limiting growth in the satellite in the North. America; X
DESC100000124; ; X
OPTION1_100000124; teachers; X
OPTION2_100000124; Soldiers; X
OPTION3_100000124; Workers; X
OPTION4_100000124; Employees; X
OPTION5_100000124; servicer; X
OPTION6_100000124; Remove modifiers; X
TITLE100000125; Growth Restriction among satellites in South. America; X
DESC100000125; ; X
OPTION1_100000125; teachers; X
OPTION2_100000125; Soldiers; X
OPTION3_100000125; Workers; X
OPTION4_100000125; Employees; X
OPTION5_100000125; servicer; X
OPTION6_100000125; Remove modifiers; X
TITLE100000126; Growth Restriction among satellites in Oceania; X
DESC100000126; ; X
OPTION1_100000126; teachers; X
OPTION2_100000126; Soldiers; X
OPTION3_100000126; Workers; X
OPTION4_100000126; Employees; X
OPTION5_100000126; servicer; X
OPTION6_100000126; Remove modifiers; X
TITLE100000131; migration in Europe; X
DESC100000131; ; X
OPTION1_100000131; Stop; X
OPTION2_100000131 ;; X
OPTION3_100000131; Remove modifiers; X
TITLE100000132; Migration in Asia; X
DESC100000132; ; X
OPTION1_100000132; Stop; X
OPTION2_100000132; Increase; X
OPTION3_100000132; Remove modifiers; X
TITLE100000133; Migration in Africa; X
DESC100000133; ; X
OPTION1_100000133; Stop; X
OPTION2_100000133; Increase; X
OPTION3_100000133; Remove modifiers; X
TITLE100000134; Migration to the North. America; X
DESC100000134; ; X
OPTION1_100000134; Stop; X
OPTION2_100000134; Increase; X
OPTION3_100000134; Remove modifiers; X
TITLE100000135; Migration to South. America; X
DESC100000135; ; X
OPTION1_100000135; Stop; X
OPTION2_100000135; Increase; X
OPTION3_100000135; Remove modifiers; X
TITLE100000136; Migration in Oceania; X
DESC100000136; ; X
OPTION1_100000136; Stop; X
OPTION2_100000136; Increase; X
OPTION3_100000136; Remove modifiers; X
TITLE100000211; Military; X
DESC100000211; ; X
OPTION1_100000211; conscription; X
OPTION2_100000211; call for 10 years (200 days); X
OPTION3_100000211; Call for 7 years (400 days); X
OPTION4_100000211; 4 years Call (600 days); X
OPTION5_100000211; call for 1 year (800 days); X
OPTION6_100000211; Contract Army (1000 days); X
TITLE100000212; Military; X
DESC100000212; ; X
OPTION1_100000212; conscription (200 days); X
OPTION2_100000212; call for 10 years; X
OPTION3_100000212; Call for 7 years (200 days); X
OPTION4_100000212; 4 years Call (400 days); X
OPTION5_100000212; call for 1 year (600 days); X
OPTION6_100000212; contract army (800 days); X
TITLE100000213; Military; X
DESC100000213; ; X
OPTION1_100000213; conscription (400 days); X
OPTION2_100000213; call for 10 years (200 days); X
OPTION3_100000213; Call for 7 years; X
OPTION4_100000213; 4 years Call (200 days); X
OPTION5_100000213; call for 1 year (400 days); X
OPTION6_100000213; contract army (600 days); X
TITLE100000214; Military; X
DESC100000214; ; X
OPTION1_100000214; conscription (600 days); X
OPTION2_100000214; call for 10 years (400 days); X
OPTION3_100000214; Call for 7 years (200 days); X
OPTION4_100000214; call for 4 years; X
OPTION5_100000214; call for 1 year (200 days); X
OPTION6_100000214; contract army (400 days); X
TITLE100000215; Military; X
DESC100000215; ; X
OPTION1_100000215; conscription (800 days); X
OPTION2_100000215; call for 10 years (600 days); X
OPTION3_100000215; Call for 7 years (400 days); X
OPTION4_100000215; 4 years Call (200 days); X
OPTION5_100000215; call for 1 year; X
OPTION6_100000215; contract army (200 days); X
TITLE100000216; Military; X
DESC100000216; ; X
OPTION1_100000216; conscription (1000 days); X
OPTION2_100000216; call for 10 years (800 days); X
OPTION3_100000216; Call for 7 years (600 days); X
OPTION4_100000216; 4 years Call (400 days); X
OPTION5_100000216; call for 1 year (200 days); X
OPTION6_100000216; contract army; X
TITLE100000217; Military; X
DESC100000217; ; X
OPTION1_100000217; conscription; X
OPTION2_100000217; call for 10 years; X
OPTION3_100000217; Call for 7 years; X
OPTION4_100000217; call for 4 years; X
OPTION5_100000217; call for 1 year; X
OPTION6_100000217; contract army; X
TITLE1000001111; Limitation teachers growth in Europe; X
DESC1000001111; ; X
OPTION1_1000001111;0%; X
OPTION2_1000001111;1%; X
OPTION3_1000001111;2%; X
OPTION4_1000001111;3%; X
OPTION5_1000001111; Remove modifiers; X
TITLE1000001112; Limitation of the soldier growth in Europe; X
DESC1000001112; ; X
OPTION1_1000001112;0%; X
OPTION2_1000001112;1%; X
OPTION3_1000001112;2%; X
OPTION4_1000001112;3%; X
OPTION5_1000001112; Remove modifiers; X
TITLE1000001113; Limitation proletarians growth in Europe; X
DESC1000001113; ; X
OPTION1_1000001113;0%; X
OPTION2_1000001113;5%; X
OPTION3_1000001113;10%; X
OPTION4_1000001113;20%; X
OPTION5_1000001113; Remove modifiers; X
TITLE1000001114; Restricting employees growth in Europe; X
DESC1000001114; ; X
OPTION1_1000001114;0%; X
OPTION2_1000001114;2%; X
OPTION3_1000001114;4%; X
OPTION4_1000001114;8%; X
OPTION5_1000001114; Remove modifiers; X
TITLE1000001115; Limitation servicers growth in Europe; X
DESC1000001115; ; X
OPTION1_1000001115;0%; X
OPTION2_1000001115;5%; X
OPTION3_1000001115;10%; X
OPTION4_1000001115;20%; X
OPTION5_1000001115; Remove modifiers; X
TITLE1000001121; Limitation teachers growth in Asia; X
DESC1000001121; ; X
OPTION1_1000001121;0%; X
OPTION2_1000001121;1%; X
OPTION3_1000001121;2%; X
OPTION4_1000001121;3%; X
OPTION5_1000001121; Remove modifiers; X
TITLE1000001122; Limitation of the soldier growth in Asia; X
DESC1000001122; ; X
OPTION1_1000001122;0%; X
OPTION2_1000001122;1%; X
OPTION3_1000001122;2%; X
OPTION4_1000001122;3%; X
OPTION5_1000001122; Remove modifiers; X
TITLE1000001123; Limitation proletarians growth in Asia; X
DESC1000001123; ; X
OPTION1_1000001123;0%; X
OPTION2_1000001123;5%; X
OPTION3_1000001123;10%; X
OPTION4_1000001123;20%; X
OPTION5_1000001123; Remove modifiers; X
TITLE1000001124; Restricting employees growth in Asia; X
DESC1000001124; ; X
OPTION1_1000001124;0%; X
OPTION2_1000001124;2%; X
OPTION3_1000001124;4%; X
OPTION4_1000001124;8%; X
OPTION5_1000001124; Remove modifiers; X
TITLE1000001125; Limiting growth in Asia servicers; X
DESC1000001125; ; X
OPTION1_1000001125;0%; X
OPTION2_1000001125;5%; X
OPTION3_1000001125;10%; X
OPTION4_1000001125;20%; X
OPTION5_1000001125; Remove modifiers; X
TITLE1000001131; Limitation teachers growth in Africa; X
DESC1000001131; ; X
OPTION1_1000001131;0%; X
OPTION2_1000001131;1%; X
OPTION3_1000001131;2%; X
OPTION4_1000001131;3%; X
OPTION5_1000001131; Remove modifiers; X
TITLE1000001132; Limitation of the soldier growth in Africa; X
DESC1000001132; ; X
OPTION1_1000001132;0%; X
OPTION2_1000001132;1%; X
OPTION3_1000001132;2%; X
OPTION4_1000001132;3%; X
OPTION5_1000001132; Remove modifiers; X
TITLE1000001133; Limitation proletarians growth in Africa; X
DESC1000001133; ; X
OPTION1_1000001133;0%; X
OPTION2_1000001133;5%; X
OPTION3_1000001133;10%; X
OPTION4_1000001133;20%; X
OPTION5_1000001133; Remove modifiers; X
TITLE1000001134; Limiting the growth of civil servants in Africa; X
DESC1000001134; ; X
OPTION1_1000001134;0%; X
OPTION2_1000001134;2%; X
OPTION3_1000001134;4%; X
OPTION4_1000001134;8%; X
OPTION5_1000001134; Remove modifiers; X
TITLE1000001135; Limitation servicers growth in Africa; X
DESC1000001135; ; X
OPTION1_1000001135;0%; X
OPTION2_1000001135;5%; X
OPTION3_1000001135;10%; X
OPTION4_1000001135;20%; X
OPTION5_1000001135; Remove modifiers; X
TITLE1000001141; Limiting growth of teachers in the North. America; X
DESC1000001141; ; X
OPTION1_1000001141;0%; X
OPTION2_1000001141;1%; X
OPTION3_1000001141;2%; X
OPTION4_1000001141;3%; X
OPTION5_1000001141; Remove modifiers; X
TITLE1000001142; Limitation of the soldier growth in the North. America; X
DESC1000001142; ; X
OPTION1_1000001142;0%; X
OPTION2_1000001142;1%; X
OPTION3_1000001142;2%; X
OPTION4_1000001142;3%; X
OPTION5_1000001142; Remove modifiers; X
TITLE1000001143; Limitation proletarians growth in the North. America; X
DESC1000001143; ; X
OPTION1_1000001143;0%; X
OPTION2_1000001143;5%; X
OPTION3_1000001143;10%; X
OPTION4_1000001143;20%; X
OPTION5_1000001143; Remove modifiers; X
TITLE1000001144; Restricting employees growth in the North. America; X
DESC1000001144; ; X
OPTION1_1000001144;0%; X
OPTION2_1000001144;2%; X
OPTION3_1000001144;4%; X
OPTION4_1000001144;8%; X
OPTION5_1000001144; Remove modifiers; X
TITLE1000001145; Growth Restriction servicers in the North. America; X
DESC1000001145; ; X
OPTION1_1000001145;0%; X
OPTION2_1000001145;5%; X
OPTION3_1000001145;10%; X
OPTION4_1000001145;20%; X
OPTION5_1000001145; Remove modifiers; X
TITLE1000001151; Limiting growth of teachers in the South. America; X
DESC1000001151; ; X
OPTION1_1000001151;0%; X
OPTION2_1000001151;1%; X
OPTION3_1000001151;2%; X
OPTION4_1000001151;3%; X
OPTION5_1000001151; Remove modifiers; X
TITLE1000001152; Limitation of the soldier growth in the South. America; X
DESC1000001152; ; X
OPTION1_1000001152;0%; X
OPTION2_1000001152;1%; X
OPTION3_1000001152;2%; X
OPTION4_1000001152;3%; X
OPTION5_1000001152; Remove modifiers; X
TITLE1000001153; Limiting growth in South proletarians. America; X
DESC1000001153; ; X
OPTION1_1000001153;0%; X
OPTION2_1000001153;5%; X
OPTION3_1000001153;10%; X
OPTION4_1000001153;20%; X
OPTION5_1000001153; Remove modifiers; X
TITLE1000001154; Restricting employees growth in South. America; X
DESC1000001154; ; X
OPTION1_1000001154;0%; X
OPTION2_1000001154;2%; X
OPTION3_1000001154;4%; X
OPTION4_1000001154;8%; X
OPTION5_1000001154; Remove modifiers; X
TITLE1000001155; Growth Restriction servicers in the South. America; X
DESC1000001155; ; X
OPTION1_1000001155;0%; X
OPTION2_1000001155;5%; X
OPTION3_1000001155;10%; X
OPTION4_1000001155;20%; X
OPTION5_1000001155; Remove modifiers; X
TITLE1000001161; Limiting the growth of teachers in Oceania; X
DESC1000001161; ; X
OPTION1_1000001161;0%; X
OPTION2_1000001161;1%; X
OPTION3_1000001161;2%; X
OPTION4_1000001161;3%; X
OPTION5_1000001161; Remove modifiers; X
TITLE1000001162; Limitation of the soldier growth in Oceania; X
DESC1000001162; ; X
OPTION1_1000001162;0%; X
OPTION2_1000001162;1%; X
OPTION3_1000001162;2%; X
OPTION4_1000001162;3%; X
OPTION5_1000001162; Remove modifiers; X
TITLE1000001163; Limiting the growth of the proletariat in Oceania; X
DESC1000001163; ; X
OPTION1_1000001163;0%; X
OPTION2_1000001163;5%; X
OPTION3_1000001163;10%; X
OPTION4_1000001163;20%; X
OPTION5_1000001163; Remove modifiers; X
TITLE1000001164; Limitation of employees Growth in Oceania; X
DESC1000001164; ; X
OPTION1_1000001164;0%; X
OPTION2_1000001164;2%; X
OPTION3_1000001164;4%; X
OPTION4_1000001164;8%; X
OPTION5_1000001164; Remove modifiers; X
TITLE1000001165; Limiting growth servicers in Oceania; X
DESC1000001165; ; X
OPTION1_1000001165;0%; X
OPTION2_1000001165;5%; X
OPTION3_1000001165;10%; X
OPTION4_1000001165;20%; X
OPTION5_1000001165; Remove modifiers; X
TITLE1000001211; teachers growth Limiting the satellites in Europe; X
DESC1000001211; ; X
OPTION1_1000001211;0%; X
OPTION2_1000001211;1%; X
OPTION3_1000001211;2%; X
OPTION4_1000001211;3%; X
OPTION5_1000001211; Remove modifiers; X
TITLE1000001212; soldiers Growth Restriction among satellites in Europe; X
DESC1000001212; ; X
OPTION1_1000001212;0%; X
OPTION2_1000001212;1%; X
OPTION3_1000001212;2%; X
OPTION4_1000001212;3%; X
OPTION5_1000001212; Remove modifiers; X
TITLE1000001213; proletarians Growth Restriction among satellites in Europe; X
DESC1000001213; ; X
OPTION1_1000001213;0%; X
OPTION2_1000001213;5%; X
OPTION3_1000001213;10%; X
OPTION4_1000001213;20%; X
OPTION5_1000001213; Remove modifiers; X
TITLE1000001214; employees Growth Restriction of the satellites in Europe; X
DESC1000001214; ; X
OPTION1_1000001214;0%; X
OPTION2_1000001214;2%; X
OPTION3_1000001214;4%; X
OPTION4_1000001214;8%; X
OPTION5_1000001214; Remove modifiers; X
TITLE1000001215; servicers Growth Restriction among satellites in Europe; X
DESC1000001215; ; X
OPTION1_1000001215;0%; X
OPTION2_1000001215;5%; X
OPTION3_1000001215;10%; X
OPTION4_1000001215;20%; X
OPTION5_1000001215; Remove modifiers; X
TITLE1000001221; teachers Limiting growth in satellites in Asia; X
DESC1000001221; ; X
OPTION1_1000001221;0%; X
OPTION2_1000001221;1%; X
OPTION3_1000001221;2%; X
OPTION4_1000001221;3%; X
OPTION5_1000001221; Remove modifiers; X
TITLE1000001222; Limitation of the soldier growth in satellites in Asia; X
DESC1000001222; ; X
OPTION1_1000001222;0%; X
OPTION2_1000001222;1%; X
OPTION3_1000001222;2%; X
OPTION4_1000001222;3%; X
OPTION5_1000001222; Remove modifiers; X
TITLE1000001223; proletarians Growth Restriction among satellites in Asia; X
DESC1000001223; ; X
OPTION1_1000001223;0%; X
OPTION2_1000001223;5%; X
OPTION3_1000001223;10%; X
OPTION4_1000001223;20%; X
OPTION5_1000001223; Remove modifiers; X
TITLE1000001224; employees Growth Restriction of the satellites in Asia; X
DESC1000001224; ; X
OPTION1_1000001224;0%; X
OPTION2_1000001224;2%; X
OPTION3_1000001224;4%; X
OPTION4_1000001224;8%; X
OPTION5_1000001224; Remove modifiers; X
TITLE1000001225; servicers Growth Restriction among satellites in Asia; X
DESC1000001225; ; X
OPTION1_1000001225;0%; X
OPTION2_1000001225;5%; X
OPTION3_1000001225;10%; X
OPTION4_1000001225;20%; X
OPTION5_1000001225; Remove modifiers; X
TITLE1000001231; teachers Limiting growth in the satellite in Africa; X
DESC1000001231; ; X
OPTION1_1000001231;0%; X
OPTION2_1000001231;1%; X
OPTION3_1000001231;2%; X
OPTION4_1000001231;3%; X
OPTION5_1000001231; Remove modifiers; X
TITLE1000001232; Limitation of the soldier growth in the satellite in Africa; X
DESC1000001232; ; X
OPTION1_1000001232;0%; X
OPTION2_1000001232;1%; X
OPTION3_1000001232;2%; X
OPTION4_1000001232;3%; X
OPTION5_1000001232; Remove modifiers; X
TITLE1000001233; Limiting the growth of the proletarians from satellites in Africa; X
DESC1000001233; ; X
OPTION1_1000001233;0%; X
OPTION2_1000001233;5%; X
OPTION3_1000001233;10%; X
OPTION4_1000001233;20%; X
OPTION5_1000001233; Remove modifiers; X
TITLE1000001234; employees Growth Restriction of the satellites in Africa; X
DESC1000001234; ; X
OPTION1_1000001234;0%; X
OPTION2_1000001234;2%; X
OPTION3_1000001234;4%; X
OPTION4_1000001234;8%; X
OPTION5_1000001234; Remove modifiers; X
TITLE1000001235; Limiting growth servicers have satellites in Africa; X
DESC1000001235; ; X
OPTION1_1000001235;0%; X
OPTION2_1000001235;5%; X
OPTION3_1000001235;10%; X
OPTION4_1000001235;20%; X
OPTION5_1000001235; Remove modifiers; X
TITLE1000001241; teachers Limiting growth in the satellite in the North. America; X
DESC1000001241; ; X
OPTION1_1000001241;0%; X
OPTION2_1000001241;1%; X
OPTION3_1000001241;2%; X
OPTION4_1000001241;3%; X
OPTION5_1000001241; Remove modifiers; X
TITLE1000001242; soldiers Growth Restriction from satellites in the North. America; X
DESC1000001242; ; X
OPTION1_1000001242;0%; X
OPTION2_1000001242;1%; X
OPTION3_1000001242;2%; X
OPTION4_1000001242;3%; X
OPTION5_1000001242; Remove modifiers; X
TITLE1000001243; proletarians Growth Restriction from satellites in the North. America; X
DESC1000001243; ; X
OPTION1_1000001243;0%; X
OPTION2_1000001243;5%; X
OPTION3_1000001243;10%; X
OPTION4_1000001243;20%; X
OPTION5_1000001243; Remove modifiers; X
TITLE1000001244; employees Growth Restriction of the satellites in the North. America; X
DESC1000001244; ; X
OPTION1_1000001244;0%; X
OPTION2_1000001244;2%; X
OPTION3_1000001244;4%; X
OPTION4_1000001244;8%; X
OPTION5_1000001244; Remove modifiers; X
TITLE1000001245; servicers Growth Restriction from satellites in the North. America; X
DESC1000001245; ; X
OPTION1_1000001245;0%; X
OPTION2_1000001245;5%; X
OPTION3_1000001245;10%; X
OPTION4_1000001245;20%; X
OPTION5_1000001245; Remove modifiers; X
TITLE1000001251; teachers Limiting growth in satellites in South. America; X
DESC1000001251; ; X
OPTION1_1000001251;0%; X
OPTION2_1000001251;1%; X
OPTION3_1000001251;2%; X
OPTION4_1000001251;3%; X
OPTION5_1000001251; Remove modifiers; X
TITLE1000001252; soldiers Growth Restriction from satellites in the South. America; X
DESC1000001252; ; X
OPTION1_1000001252;0%; X
OPTION2_1000001252;1%; X
OPTION3_1000001252;2%; X
OPTION4_1000001252;3%; X
OPTION5_1000001252; Remove modifiers; X
TITLE1000001253; proletarians Growth Restriction from satellites in the South. America; X
DESC1000001253; ; X
OPTION1_1000001253;0%; X
OPTION2_1000001253;5%; X
OPTION3_1000001253;10%; X
OPTION4_1000001253;20%; X
OPTION5_1000001253; Remove modifiers; X
TITLE1000001254; employees Growth Restriction of the satellites in the South. America; X
DESC1000001254; ; X
OPTION1_1000001254;0%; X
OPTION2_1000001254;2%; X
OPTION3_1000001254;4%; X
OPTION4_1000001254;8%; X
OPTION5_1000001254; Remove modifiers; X
TITLE1000001255; servicers Growth Restriction from satellites in the South. America; X
DESC1000001255; ; X
OPTION1_1000001255;0%; X
OPTION2_1000001255;5%; X
OPTION3_1000001255;10%; X
OPTION4_1000001255;20%; X
OPTION5_1000001255; Remove modifiers; X
TITLE1000001261; Limiting the growth of teachers from satellites in Oceania; X
DESC1000001261; ; X
OPTION1_1000001261;0%; X
OPTION2_1000001261;1%; X
OPTION3_1000001261;2%; X
OPTION4_1000001261;3%; X
OPTION5_1000001261; Remove modifiers; X
TITLE1000001262; Limitation of the soldier growth of the satellites in the Pacific; X
DESC1000001262; ; X
OPTION1_1000001262;0%; X
OPTION2_1000001262;1%; X
OPTION3_1000001262;2%; X
OPTION4_1000001262;3%; X
OPTION5_1000001262; Remove modifiers; X
TITLE1000001263; Limiting the growth of the proletarians from satellites in Oceania; X
DESC1000001263; ; X
OPTION1_1000001263;0%; X
OPTION2_1000001263;5%; X
OPTION3_1000001263;10%; X
OPTION4_1000001263;20%; X
OPTION5_1000001263; Remove modifiers; X
TITLE1000001264; Limiting growth in employees satellites in Oceania; X
DESC1000001264; ; X
OPTION1_1000001264;0%; X
OPTION2_1000001264;2%; X
OPTION3_1000001264;4%; X
OPTION4_1000001264;8%; X
OPTION5_1000001264; Remove modifiers; X
TITLE1000001265; Limiting growth servicers have satellites in Oceania; X
DESC1000001265; ; X
OPTION1_1000001265;0%; X
OPTION2_1000001265;5%; X
OPTION3_1000001265;10%; X
OPTION4_1000001265;20%; X
OPTION5_1000001265; Remove modifiers; X
pops_regionPOP_europe_servicers_0; Province Europe max 0% servicers; X
pops_regionPOP_europe_servicers_1; Province Europe max 5% servicers; X
pops_regionPOP_europe_servicers_2; Province Europe max 10% of servicers; X
pops_regionPOP_europe_servicers_3; Province Europe max 15% of servicers; X
pops_regionPOP_europe_clerks_0; Province Europe max 0% of employees; X
pops_regionPOP_europe_clerks_1; Province Europe max 2% of employees; X
pops_regionPOP_europe_clerks_2; Province Europe max 4% of employees; X
pops_regionPOP_europe_clerks_3; Province Europe max 10% of employees; X
pops_regionPOP_europe_craftsmen_0; Province Europe max 0% proletarians; X
pops_regionPOP_europe_craftsmen_1; Province Europe max 5% of the proletarians; X
pops_regionPOP_europe_craftsmen_2; Province Europe max 10% of the proletarians; X
pops_regionPOP_europe_craftsmen_3; Province Europe max 20% of the proletarians; X
pops_regionPOP_europe_soldiers_0; Province Europe 0% max soldiers; X
pops_regionPOP_europe_soldiers_1; Province Europe max 1% of the soldiers; X
pops_regionPOP_europe_soldiers_2; Province Europe max 2% of the soldiers; X
pops_regionPOP_europe_soldiers_3; Province Europe max 3% of soldiers; X
pops_regionPOP_europe_clergymen_0; Province Europe max 0% of teachers; X
